time,x_true,y_true,theta_true,x_est,y_est,theta_est
18.294566625,1.0229965665718326,-0.5286146206810377,0.6624952595239599,1.0545129662860089,-0.49749922827926957,0.6751243322063851
18.339744116000002,1.026249975154854,-0.5260663122820528,0.666421250467773,1.057914874187767,-0.49458567019207517,0.6793311189890878
18.369257427,1.0294933540548565,-0.5235052507022782,0.6703472414116499,1.0612736859726688,-0.49169304421061516,0.6834857312512285
18.407118344,1.0333720991762485,-0.5204151982019833,0.6750584305443277,1.0646752675964324,-0.488722604182858,0.6877360850184815
18.437219691000003,1.0365932370225241,-0.5178262188510284,0.6789844214882045,1.0680322447829214,-0.4857757900832696,0.6919305160601629
18.489177238,1.040445148457871,-0.5147027806067836,0.6836956106208754,1.0714298678794458,-0.48275289825499784,0.696216904056043
18.516400518,1.0436438049521963,-0.5120860766235846,0.6876216015647523,1.0747814044528374,-0.4797564165254425,0.7004436235030288
18.555350008,1.0468321636657096,-0.5094568349423494,0.6915475925086292,1.0780892614481765,-0.4767831914063442,0.7046161208804997
18.590128279,1.050644531868566,-0.50628525223695,0.6962587816412431,1.081437798361071,-0.473731983580996,0.7088823622910777
18.62582223,1.0538100627041245,-0.5036285705410163,0.70018477258512,1.0847412125529317,-0.4707067440199606,0.7130907605697375
18.644576444000002,1.056965139062425,-0.5009594815058446,0.7041107635289969,1.0880018889710275,-0.46770425226440565,0.7172467605275475
18.677060869,1.0607373623221794,-0.4977402549139646,0.7088219526616749,1.0913032586837532,-0.4646218342933791,0.7214982939209624
18.725024216,1.0638692678794748,-0.4950440148125276,0.7127479436054877,1.0945604414763248,-0.4615649581555963,0.725693713143242
18.765491868,1.0676135457404556,-0.49179232733197714,0.7174591327382296,1.0978562285221893,-0.45843002148874523,0.7299809149278077
18.798933246,1.070722046855282,-0.48906913730491275,0.7213851236821065,1.1011064063065417,-0.4553235076606614,0.7342082908679812
18.840870711,1.0738198328219264,-0.48633376434876163,0.7253111146259835,1.1043133324948908,-0.45224210856766495,0.7383813042653931
18.897533285,1.0775229647696767,-0.48303529471135553,0.7300223037585972,1.1075588706570219,-0.449080727300466,0.7426479375165255
18.924522057,1.0805970095732125,-0.4802732679826226,0.7339482947024742,1.1107597720907605,-0.44594726473408486,0.746856619023523
18.95170225,1.083660187021963,-0.4774991938989239,0.7378742856463512,1.1139183706533318,-0.4428383472755621,0.7510128082890373
18.994582327,1.087321588586765,-0.47415446270604683,0.742585474778965,1.1171155658376475,-0.43964748837229667,0.7552644507795062
19.011524803,1.0903606918988602,-0.4713540352096112,0.7465114657228419,1.1202690666205657,-0.43648406243535515,0.7594599115477824
19.050243544,1.093993068206191,-0.46797780498445324,0.7512226548555767,1.1234591089942791,-0.4332406851923632,0.7637470988989729
19.066559043,1.0970078706632596,-0.46515123298833644,0.7551486457994536,1.1266040927208378,-0.4300277130595611,0.7679744148995518
19.100149508,1.1000115528186243,-0.462312846719,0.7590746367432666,1.1297063218825285,-0.42684168614283025,0.7721473322366433
19.146451151,1.1036012274328657,-0.45889124996672226,0.7637858258760014,1.132845069223875,-0.42357376894616355,0.7764138416334029
19.173346876,1.1065802822017643,-0.45602702654865523,0.7677118168202406,1.1359397333267194,-0.42033568860702325,0.7806223788022982
19.205746006000002,1.109548069125684,-0.4531511294922829,0.7716378077644728,1.1389925928031248,-0.4171239217214349,0.7847784095931256
19.234697106000002,1.1130944754842518,-0.44968470624753426,0.776348996897513,1.1420819219181753,-0.41382829017683576,0.7890298849171782
19.275808813,1.1160373123771845,-0.4467832834713374,0.7802749878417453,1.1451281112666856,-0.4105619497653237,0.793225174436086
19.307635563,1.119553646704527,-0.4432863589553981,0.7849861769747853,1.1482087488941892,-0.40721385648655445,0.7975121902967691
19.363978967,1.1224713140296163,-0.4403596269067225,0.7889121679190177,1.1512449396167648,-0.4038981138670155,0.8017393377111264
19.391618705000003,1.125377468575137,-0.4374214627074024,0.7928381588631931,1.1542389301437743,-0.40061111408359207,0.8059120918853141
19.448876146,1.1288495941037708,-0.43388063900590007,0.79754934799629,1.1572673109447795,-0.3972404070830842,0.810178445503905
19.480036045000002,1.1317302631113675,-0.43091748373266286,0.8014753389405223,1.1602522187456528,-0.3939014189273327,0.814386835749341
19.526716244000003,1.1346162290278423,-0.42792563126628985,0.8051927548874098,1.1632036519741211,-0.39057773351001157,0.8184736103028882
19.555885863,1.138232648256862,-0.42415240438318785,0.80760961903299,1.1662749956586163,-0.3870285685535412,0.8218993451066654
19.611090575000002,1.1413829449317867,-0.42085752644215013,0.8078794636065418,1.169428959039444,-0.38331272620543877,0.82416610061498
19.652909478,1.1451891533675964,-0.4168762149320054,0.8078794636073447,1.1727217966131394,-0.37937499673983566,0.8254885529145536
19.690663739,1.1483609937307695,-0.41355845534021485,0.8078794636080837,1.1760169354452716,-0.37544807417105,0.8262380748133727
19.726514796,1.1515328340939401,-0.4102406957484221,0.8078794636088156,1.1793105816712688,-0.37154536619910966,0.8265188512826123
19.793798046000003,1.1553390425297458,-0.40625938423826363,0.8078794636096753,1.1826850492425185,-0.36755392148927724,0.8264113160120785
19.807460775000003,1.1585108828929065,-0.40294162464647104,0.8078794636103503,1.1860503966163496,-0.3636092613338856,0.8259882520350136
19.849190281000002,1.1616827232560747,-0.39962386505466596,0.8078794636110184,1.189406030237502,-0.35971415687769936,0.825314871138117
19.869894684000002,1.1654889316918713,-0.395642553544499,0.8078794636118708,1.1928347763410865,-0.35575088074935884,0.8244490157099612
19.898171013000002,1.1686607720550246,-0.3923247939526993,0.8078794636125459,1.1962472095710448,-0.35185068060226554,0.8234414570413214
19.929231358000003,1.1724669804908154,-0.38834348244252653,0.8078794636134056,1.1997265017798824,-0.34789344638010267,0.8223362670878375
19.959536454000002,1.1756388208539685,-0.3850257228507168,0.8078794636141446,1.2031835856664894,-0.34400827781388776,0.8211712435695704
19.997696187000003,1.178810661217114,-0.38170796325890993,0.8078794636148126,1.2066187479489707,-0.3401922428203648,0.8199783709901579
20.026505517,1.1826168696528958,-0.37772665174872866,0.8078794636156651,1.210115692169114,-0.3363226007646645,0.8187843026851026
20.073613642,1.1857887100160416,-0.3744088921569118,0.8078794636163971,1.2135858595325997,-0.3325262403502491,0.8176108513450889
20.098030004,1.188960550379185,-0.3710911325650928,0.8078794636170152,1.2170300204179887,-0.3287984011979277,0.8164754775974303
20.142941107000002,1.192766758814958,-0.367109821054903,0.8078794636178751,1.2205323359696048,-0.3250148601080921,0.8153917681640118
20.217877526000002,1.195938599178096,-0.363792061463079,0.8078794636186069,1.2240046781292144,-0.3213013324723613,0.8143698968493358
20.246872928000002,1.199744807613858,-0.3598107499528884,0.8078794636193956,1.2275314713376466,-0.31753306319029656,0.8134170631546901
20.300446016000002,1.202916647976991,-0.3564929903610597,0.8078794636201274,1.2310248504316013,-0.3138353157516296,0.8125379046672696
20.325323514,1.206088488340122,-0.3531752307692287,0.8078794636208664,1.2344862493062843,-0.3102020519495404,0.8117348805505502
20.376293971000003,1.209894696775875,-0.3491939192590296,0.8078794636216692,1.238000460319427,-0.3065080776599854,0.8110086244724201
20.40260945,1.2130665371390008,-0.34587615966719376,0.8078794636224013,1.2414799527253844,-0.3028784056310384,0.8103582661638372
20.455533144,1.2168727455747474,-0.3418948481569888,0.8078794636231901,1.245009713306428,-0.2991878099966845,0.8097817215150994
20.489030296000003,1.220044585937868,-0.33857708856514807,0.8078794636239217,1.2485024036669876,-0.2955612814266591,0.8092759517031811
20.549514025,1.223216426300991,-0.33525932897329996,0.8078794636245967,1.251959948704912,-0.291992675539502,0.8088371923132213
20.585037383,1.227022634736729,-0.3312780174630865,0.8078794636253996,1.2554675961825466,-0.2883568300980436,0.8084611537845049
20.641685831,1.2301944750998424,-0.3279602578712386,0.8078794636261317,1.2589382356373282,-0.28477890195076416,0.8081431947869437
20.665234993000002,1.233366315462953,-0.3246424982793885,0.8078794636268705,1.2623739891099788,-0.2812529936693218,0.8078784703309095
20.706355906000002,1.2371725238986868,-0.32066118676916133,0.8078794636277303,1.265860272960514,-0.27765425149327505,0.8076620565410069
20.740519545,1.2403387668965962,-0.31734928204701696,0.8078794636282773,1.2693076652247728,-0.2741126871945997,0.8074890540944695
20.778364428,1.243993846468904,-0.313526052022239,0.8078794636287109,1.2727379106371006,-0.27062063306042583,0.8073546723457404
